tweet,existence
RT @nicnunes: RT @EPSclimate: Indigenous tradition used to fight climate change [link],N/A
"RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",N/A
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes
"Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon [link],Yes
"RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",Yes
"What beautiful fall weather this morning, New York! Thanks climate change! Bleh!",Yes
"Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]",Yes
Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],Yes
Mountain Vs. Valley Temps Stretch Apart With Climate Change [link],Yes
"CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]",Yes
"Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]",Yes
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],Yes
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link],Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes
"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Yes
"Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]",Yes
South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link],Yes
"Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]",Yes
James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link],Yes
I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link],Yes
Report: Save the Whales and They'll Save Us from Global Warming [link],Yes
RT @indiaenvportal: The contribution of organic agriculture to climate change mitigation [link],N/A
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link],Yes
#EPA report documents "very real" impacts from #climate change in 22 of 24 indicators studied: [link],Yes
#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link],Yes
RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link],Yes
RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link],Yes
Global warming science good news - Soils release less carbon than though as world warms: [link],Yes
"So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !",Yes
"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",Yes
"Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]",Yes
West Mediterranean countries unite on climate change (AFP) [link],N/A
Cleaner Air Could Speed Global Warming|Hugh Pickens writes \Scientists estimate that the US Clean Air Act has cut .. [link],Yes
"3,000 Businesses Create New Ad for Climate Change Action [link]",N/A
"Person #1:""Snow, then 65 degrees on the same day? Weather doesn't even surprise me anymore."" Person #2:""That's why global warming will win.""",Yes
Just heard an interesting report on report on understanding climate change/climate variability influence on human evolution and dispersal,N/A
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes
RT @jerryjamesstone: Alaska Before the Effects of Global Warming [pics]: [link],Yes
New blog post: Mandating energy benchmarking: The next step for cities in addressing #climate change? [link],N/A
RealDocWatson on global warming: Go to Antarctica and stake a claim now! It will be like Florida in a few years!,Yes
How much trouble does global warming mean for agriculture? Just ask the wine industry. [link],Yes
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show] [link],Yes
"Climate Change: From Paris to the Alps, European Places in Peril (photos) [link]",Yes
How Climate Change Will Change The Electoral Map: The National Oceanic and Atmospheric Administration isn't known ... [link],N/A
"M Report: Cleaner Air Could Actually Intensify Global Warming: As much of the world marked Earth Day this past week, the Environmental...",Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes
"Global warming is a threat, after all|Tim Blair rounds up the latest news from the wild frontiers of global .. [link]",Yes
Kuna Indians Prepare For Relocation As Traditional Homes Sink Due To Climate Change [link],Yes
How Global Warming Is Killing California's Wine Buzz: Dr. Kimberley Cahill presented on "Climate Change in Califor... [link],Yes
RT @uncajoe: uncajoe: PLZ RT & #Digg Climate Of Hate: The Politics Of Climate Change Denial: As H... [link],N/A
"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",Yes
"GLOBAL WARMING: Ocean chemistry is changing faster than it has in 800,000 years|And that's because of the carbon .. [link]",Yes
Good going douche. I'm sure there is no climate change in your backass world - Graham move imperils Obama agenda - [link],Yes
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Yes
Ski resorts fight global warming|SALT LAKE CITY (AP) ? Ski resorts across the U.S. are using this Thanksgiving .. [link],Yes
"Bats, Birds and Lizards Can Fight Climate Change By Eating Insects: Birds, bats and lizards may play an important... [link]",Yes
RT @indiaenvportal: Make IT green: cloud computing and its contribution to climate change  [link],Yes
RT @HeidiAmes: Climate change favors invasive species over indigenous ones. 30% of plants Thoreau saw are now extinct. [link],Yes
scary RT @ClimateProject Climate change altering U.S. seasons: Spring 10 days early: [link],Yes
RT @thompsonPLC @boliviaun Pres Evo Morales in @LATimes climate change:lessons from indigenous peoples [link],N/A
RT @Newsweek: Global Warming Kills Forests In Colorado [link],Yes
MediaGlobal report on special Tipping Point Earth Day event: Science and art mobilize to fight climate change [link],Yes
a review of yesterday's discussions: [link],N/A
Global Warming Kills Forests In Colorado [link],Yes
Combating climate change: lessons from the world's indigenous peoples: When I arrived at the United Nations climat... [link],Yes
Africa: Meteorology Services Gear Up for Climate Change: On the continent most vulnerable to climate c... [link],Yes
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],N/A
"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",Yes
"China: The Key To Fixing Global Warming|With rapid expansion comes sizable environmental impact, so the world's .. [link]",Yes
Now on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],Yes
Official NASA Report: Sun Causes Climate Change:  [link],Yes
RT @TreeHugger RT @huffpostgreen well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],Yes
RT @sciam: Impacts of Climate Change Extend to Human Health [link],Yes
Impacts of Climate Change Extend to Human Health [link],Yes
The good news about the very bad news (about climate change) by Rebecca Solnit [link],N/A
Alpha Phi Alpha Takes on Climate Change and Energy Efficiency - [link],Yes
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],N/A
"Natural variability does not explain global warming, climate scientists tell popular TV meteorologist [link]",Yes
Rebecca Solnit: 350 Degrees of Inseparability: The Good News About the Very Bad News (About Climate Change) [link],Yes
"Watch video: Climate change threatens sacred Tibetan mountain, including land known as Shangri-La [link]",Yes
African Meteorology Services Gear Up for Climate Change. (america.gov) #IRI [link],Yes
Economists Say Climate Change Is Bad For Economy [link],Yes
Economists Say Climate Change Is Bad For Economy [link],Yes
Report: Allergy Season to Get Worse with Climate Change (Time.com) [link],Yes
Don•À_t Kill Bill •À_ Save the Climate Change Accountability Act! [link],Yes
RT @Oxfam #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],Yes
"Denis Hayes, founder of Earth Day, compares global climate change to Irish Famine (IrishCentral) News Weather Politics [link]",Yes
RT @Oxfam: #Climate change makes farmers & pastoralists in #Ethiopia increasingly vulnerable [link],Yes
"ITS #EARTHDAY!!! Be aware of what you consume, waste, & how you treat this place. we only have 1 & as we can see global warming is in effect",Yes
Earth Day: Ben Verwaayen on what we're doing to curb climate change [link],Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes
HEALTH: U.S. and other industrial nations already feel impacts of climate change -- report [link],Yes
GECKO 10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention ... [link],N/A
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],Yes
Climate change could raise cost of U.S. allergies (Reuters) [link],Yes
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],Yes
Treating Climate Change as a Curable Disease: Bioethicists and international law experts met in Asilomar later las... [link],N/A
well this is just crazy: Coal CEO Calls Mine Safety Rules 'As Silly As Global Warming' [link],Yes
Military leads fight against climate change [link],Yes
"Military leads fight against climate change: The U.S. military, the government's largest fuel buyer, is leading th... [link]",Yes
10 first steps to greener living: It all seems so daunting: Climate change. Carbon credits. Not to mention biofuel... [link],Yes
Swedish expert says CO2 is not the main cause of global warming|Swedish climate expert Dr. Fred Goldberg has said .. [link],Yes
Fighting poverty and global warming in Africa [link],Yes
RT @greenforyou: Treating Climate Change as a Curable Disease | Wired Science | Wired.com #green [link],Yes
[link],N/A
Thursday on PBS: Going Green New York: Examining how New Yorkers are confronting climate change Check local listings [link],Yes
"UN •À_ Only Global Cooperation Can Prevent Runaway Climate Change, Secretary •À_: The United Nations seeks dialogue, i... [link]",Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Yes
rt @democracy_now "Most Important Event in Struggle Against Climate Change" - Nigerian Environmentalist Nnimmo Bassey [link],Yes
Military leads fight against climate change: Pew [link],Yes
Report identifies 11 diseases & health issues affctd by climate change. Once u inclde mental health evrything's @ stake [link],Yes
For Earth Day: Resources on coping with climate change: [link],Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Yes
Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Yes
"Fedele Bauccio: Combating Climate Change One Meal at a Time: This week, Americans will celebrate the 40th anniver... [link]",N/A
"RT @egeemnz @mrdannyglover i support world people's conf on climate change in cochabamba,bolivia.watch live [link]",Yes
Barrett: better to have lots of small protocols on climate change than pushing for one comprehensive one,Yes
Topography of mountains could complicate rates of global warming [link],Yes
"RT @mrdannyglover i support the world people's conference on climate change in cochabamba, bolivia. watch live now at [link]",Yes
"Many global issues require universal co-operation to address e.g. smallpox, ozone layer, climate change",Yes
RT @hereisawayjose Bolivia President on Global Warming [link],N/A
RT @indiawater: Boiling Point: Containing the spill over of climate change in the Indian subcontinent - A•À_ [link],Yes
"No link now between Eyjafjallaj•__kull and climate change, but a warming world could trigger earthquakes, landslides... [link]",Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link],Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link],Yes
Ethiopia: Climate Change Increasing Poverty And Vulnerability [link],Yes
Ethiopia: Climate Change Increasing Poverty And Vulnerability: Small-scale farmers and pastoralists i... [link],Yes
RT @democracy_now: "The Most Important Event in the Struggle Against Climate Change" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link],Yes
"""The Most Important Event in the Struggle Against Climate Change"" - Nigerian Environmentalist Nnimmo Bassey on •À_ [link]",Yes
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link],Yes
RT @energysection: Backgrounder: China's major policies to tackle climate change since year 2000.. [link],Yes
"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]",Yes
"UW biologist links early blooms to global warming|Associated Press - April 21, 2010 6:15 AM ET STEVENS POINT, .. [link]",Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link],Yes
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link],Yes
Will Global Warming Make Iceland's Volcanoes Angry?|Melting glaciers around the world could trigger a global .. [link],Yes
"Climate Change: Could NYC Get Katrina-Like Flood in a Warmer, Wetter Future? - Sea Level Rise of 2 Feet in 70yrs [link]",Yes
Climate Change: Geologists Drill Into Antarctica & Find Troubling Signs 4 Ice Sheets' Future •À_  Melt Could Come FAST [link],Yes
"""Either Capitalism dies or Mother Earth does"" Evo Morales Claims in the People's World Conference on Climate Change [link]",Yes
RT @rubberstamprosk: RT @MotherJones: Yet another gift from global warming: increased allergy attacks [link],Yes
Africa: Time Bomb Awaiting Africa: THERE is no doubt that climate change as an environmental issue ha... [link],Yes
Buying carbon offsets may ease eco-guilt but not global warming: [link],Yes
RT @Qorianka: All Eyes on #Cochabamba Those alrdy suffering from global warming 'll havechancetospeakout" [link],Yes
"RT @EcoSteward: This #EcoMonday, @InvasiveNotes discussion of climate change and invasive species recommended: [link]",N/A
Migratory Birds' New Climate Change Strategy: Stay Home [link],Yes
On ocean floor populations of organisms despite little oxygen. global warming cause oxygen depletion&reduce biodiversity[link],Yes
Join us for a discussion on Earth Day 4/22: Climate Change & Food Security - Irreversible Destiny? [link],Yes
RT @NWF: New York City's new waterfront plan will take climate change into consideration: [link],N/A
Pat Mooney on the Dangers of Geoengineering and Manipulating the Planet to Combat Climate Change [link],Yes
Seasonal Allergies Getting Worse From Climate Change [link],Yes
"Just because I believe in global warming, peeps thinks I should believe in god instead. Why??",Yes
Seasonal Allergies Getting Worse From Climate Change [link],Yes
Seasonal Allergies Getting Worse From Climate Change [link],Yes
@Zener39 I advise everyone who thinks global warming is dead to buy oceanfront property and live there.  See ya!,Yes
"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]",Yes
"Mary Ellen Harte and John Harte: Addressing Climate Change: Winning the War on Sustainability: At its heart, clim... [link]",Yes
RT @Drudge_Report: STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link],Yes
"Increasingly, corporations are concluding climate change is real. Betting on Climate Change | Wired.com [link]",Yes
Right on! Richard Branson's #EarthDay message 2 biz "Get ur house in order.Fight global warming!#green #eco [link],Yes
[#Meat-Wise]  Cynthia Bateman on Meat-Wise Monday: How Animal Agriculture Makes Global Warming Worse [link],Yes
"Global Warming, Melting Ice Caps Could Help Trigger More Volcanic Eruptions [link]",Yes
STATE DEPT. DECLARES:   'Global warming unequivocal and primarily human-induced'... [link],Yes
"Global warming, melting ice caps could trigger more volcanic eruptions: [link]",Yes
@LilFerret hey! We came up with all kinds of ideas for fixing global warming! Loved my Environmentalism class. *sighs*,Yes
An Overview of the Green Car Revolution | Going Green: The increasing awareness about the threat of global warming... [link],Yes
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link],Yes
"2nd eruption of Hekla in Iceland. Let's call 2010, the year the Earth struck back. ""This is for global warming and THIS is for oil spills!""",Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Yes
"RT @EpiscopalRelief: Bishop Lane, #Episcopal Dio of #Maine: Climate change most important issue of our time - #Bangor Daily Nws [link]",Yes
RT @TreeHugger: In case you were wondering: What Impact Will The Volcano In Iceland Have On Climate Change? [link],N/A
"Cool it, global warming is bad enough without you heating things up.|In the interest of honest discussion, can we .. [link]",Yes
RT @InvasiveNotes: RT @RareWildlifeGuy: Climate change: Migration patterns have changed for 20 billion birds:   [link],Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Yes
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link],Yes
Volcanic ash cloud: Global warming may trigger more volcanoes|Climate change could spark more ''hazardous'' .. [link],Yes
Just briefed on global cooling & volcanoes via @abc But I wonder ... if it gets to the stratosphere can it slow/improve global warming??,Yes
Climate Change-ing your Allergies [link],Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Yes
"Obama says China can't 'wait' on climate change: Sydney (AFP) April 15, 2010 - US President Barack Obama on Thursd... [link]",N/A
RT @beckbasher: RT @IanDavidB: RT @Shoq: CLIMATE CHANGE DENIERS: Bobby Jindal mocked volcano warnings. Read the papers lately? Start thinking for yourselves,Yes
RT @TEDNews: Cara Mertes at #tedxvolcano: We're all stranded this weekend. And we're getting a sneak preview of climate change. We have to adapt.,Yes
Larry Brilliant at #TEDxVolcano: "We have to fight for science; the single most important thing we face is climate change" #socmedia @enviro,Yes
Larry Brilliant at TEDxVolcano: "We have to fight for science; the single most important thing we face is climate change" #socent #green,Yes
"Damn man that ash cloud in Europe is crazy, they say due to global warming with the volcano activating,getting crazy",Yes
RT @TEDNews: Larry Brilliant at #tedxvolcano: Climate change is exacerbating all other crises of our age. But climate science is now under attack.,Yes
RT @Newsweek: Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Yes
"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",Yes
Global Warming Causes Volcano Eruptions -- By: Jonah Goldberg: From Reuters: OSLO (Reuters) - A thaw of Iceland's... [link],Yes
"Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]",Yes
RT @Climates_Change: Bring Indigenous Voices into the Conversation About Climate Change [link],N/A
Climate Change & Volcanic Activity: "Ice Cap Thaw May Awaken Icelandic Volcanoes [link],Yes
•À_No Rain in the Amazon: How South America•À_s Climate Change Affects Entire Planet•À_ -Interview of Nikolas Kozloff (vid) [link],Yes
Climate Change: Places To See Before They Disappear•À_The Americas (Photos) [link],Yes
"RT @bruces *Hmmm, they rather buried the lede here: Iceland glaciers melt from global warming, then volcanoes go off: [link]",Yes
"Not sure if this is consensus, but: scientist warns climate change will lead to more volcano crises due to melting ice. [link]",Yes
Wishing I was in Cochabamba at the People's World Conference on Climate Change and the Rights of Mother Earth @boliviaun,Yes
I feel that already RT @organicnewyork Climate change making seasonal allergies worse. Near-record highs this Spring [link],Yes
